"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"85",85,"Petrale Sole",0.491,0.2401,28.7198085471973,0.72,"CSTbjuv.a DDegg2 ",0.5591298,0.44288574,NA
"86",86,"Petrale Sole",0.476,0.1603,30.4341479688688,0.68,"CSTbjuv.b DDegg2 ",0.56662163,0.42637825,NA
"87",87,"Petrale Sole",0.476,0.2845,27.7757020277926,0.6,"DDlarv MLDegg ",0.50656675,0.63758781,NA
"88",88,"Petrale Sole",0.475,0.1443,31.3997460216409,0.68,"DDlarv LSTegg1 ",0.46718358,0.42374213,NA
"89",89,"Petrale Sole",0.469,0.1568,30.8619583763421,0.6,"DDlarv LSTegg2 ",0.41937974,0.39949727,NA
"90",90,"Petrale Sole",0.429,0.5124,20.0701688810492,0.6,"DDlarv LSTlarv ",0.37396257,0.34929879,NA
"91",91,"Petrale Sole",0.467,0.4154,24.3997412129339,0.6,"DDlarv LSTpjuv ",0.5591298,0.44288574,NA
"92",92,"Petrale Sole",0.458,0.1463,31.193270280568,0.68,"DDlarv LSTbjuv.a ",0.56662163,0.42637825,NA
"93",93,"Petrale Sole",0.463,0.1454,31.0886067727474,0.6,"DDlarv LSTbjuv.b ",0.50656675,0.63758781,NA
"94",94,"Petrale Sole",0.443,0.2558,28.2870797656172,0.64,"CSTegg1 DDlarv ",0.46718358,0.42374213,NA
"95",95,"Petrale Sole",0.547,0.1899,30.5051332592721,0.72,"CSTegg2 DDlarv ",0.41937974,0.39949727,NA
"96",96,"Petrale Sole",0.447,0.2106,29.7610071049312,0.64,"CSTlarv DDlarv ",0.37396257,0.34929879,NA
"97",97,"Petrale Sole",0.439,0.2793,27.5752130700238,0.68,"CSTpjuv DDlarv ",0.5591298,0.44288574,NA
"98",98,"Petrale Sole",0.395,0.4205,22.5178595145959,0.68,"CSTbjuv.a DDlarv ",0.56662163,0.42637825,NA
"99",99,"Petrale Sole",0.451,0.254,28.3614840741427,0.64,"CSTbjuv.b DDlarv ",0.56662163,0.42637825,NA
"100",100,"Petrale Sole",0.477,0.2682,27.9921945937796,0.6,"DDpjuv MLDegg ",0.37396257,0.34929879,NA
"101",101,"Petrale Sole",0.481,0.1392,31.6622003591756,0.68,"DDpjuv LSTegg1 ",0.5591298,0.44288574,NA
"102",102,"Petrale Sole",0.473,0.154,31.0844964054288,0.6,"DDpjuv LSTegg2 ",0.50656675,0.63758781,NA
"103",103,"Petrale Sole",0.441,0.4836,21.4024156032581,0.52,"DDpjuv LSTlarv ",0.50656675,0.63758781,NA
"104",104,"Petrale Sole",0.476,0.3901,25.3683362480727,0.6,"DDpjuv LSTpjuv ",0.37396257,0.34929879,NA
"105",105,"Petrale Sole",0.465,0.1421,31.5462395899965,0.68,"DDpjuv LSTbjuv.a ",0.5591298,0.44288574,NA
"106",106,"Petrale Sole",0.468,0.1422,31.4575011089453,0.68,"DDpjuv LSTbjuv.b ",0.37396257,0.34929879,NA
"107",107,"Petrale Sole",0.452,0.2645,28.1298351305951,0.68,"CSTegg1 DDpjuv ",0.5591298,0.44288574,NA
"108",108,"Petrale Sole",0.557,0.1819,30.7708471291811,0.68,"CSTegg2 DDpjuv ",0.37396257,0.34929879,NA
"109",109,"Petrale Sole",0.454,0.2106,29.8443641391764,0.64,"CSTlarv DDpjuv ",0.5591298,0.44288574,NA
"110",110,"Petrale Sole",0.445,0.2716,27.862387930735,0.72,"CSTpjuv DDpjuv ",0.37396257,0.34929879,NA
"111",111,"Petrale Sole",0.396,0.4451,21.4858142949892,0.72,"CSTbjuv.a DDpjuv ",0.51309359,0.4282422,NA
"112",112,"Petrale Sole",0.463,0.2465,28.6961396609843,0.6,"CSTbjuv.b DDpjuv ",0.58378999,0.46309502,NA
"113",113,"Petrale Sole",0.484,0.2651,28.6375758256226,0.6,"DDbjuv.a MLDegg ",0.58378999,0.46309502,NA
"114",114,"Petrale Sole",0.475,0.1156,32.1194107478658,0.68,"DDbjuv.a LSTegg1 ",0.56662163,0.42637825,NA
"115",115,"Petrale Sole",0.461,0.1551,31.1853950286606,0.64,"DDbjuv.a LSTegg2 ",0.50656675,0.63758781,NA
"116",116,"Petrale Sole",0.5,0.3463,25.9281361871544,0.52,"DDbjuv.a LSTlarv ",0.46718358,0.42374213,NA
"117",117,"Petrale Sole",0.532,0.2675,28.3121358377717,0.6,"DDbjuv.a LSTpjuv ",0.41937974,0.39949727,NA
"118",118,"Petrale Sole",0.463,0.1114,31.765954935143,0.6,"DDbjuv.a LSTbjuv.a ",0.37396257,0.34929879,NA
"119",119,"Petrale Sole",0.462,0.1094,31.623164349896,0.6,"DDbjuv.a LSTbjuv.b ",0.5591298,0.44288574,NA
"120",120,"Petrale Sole",0.446,0.1875,30.1976375585269,0.68,"CSTegg1 DDbjuv.a ",0.51309359,0.4282422,NA
"121",121,"Petrale Sole",0.56,0.1564,31.7565340681494,0.64,"CSTegg2 DDbjuv.a ",0.51309359,0.4282422,NA
"122",122,"Petrale Sole",0.454,0.156,30.8017923355931,0.64,"CSTlarv DDbjuv.a ",0.51309359,0.4282422,NA
"123",123,"Petrale Sole",0.447,0.2002,28.9931781018789,0.68,"CSTpjuv DDbjuv.a ",0.51309359,0.4282422,NA
"124",124,"Petrale Sole",0.461,0.2807,27.3026453701672,0.76,"CSTbjuv.a DDbjuv.a ",0.51309359,0.4282422,NA
"125",125,"Petrale Sole",0.476,0.1709,30.6625534179125,0.64,"CSTbjuv.b DDbjuv.a ",0.56662163,0.42637825,NA
"126",126,"Petrale Sole",0.472,0.275,27.8519537030498,0.56,"DDbjuv.b MLDegg ",0.50656675,0.63758781,NA
"127",127,"Petrale Sole",0.476,0.099,32.0472049623903,0.64,"DDbjuv.b LSTegg1 ",0.46718358,0.42374213,NA
"128",128,"Petrale Sole",0.472,0.1348,31.3358020240681,0.6,"DDbjuv.b LSTegg2 ",0.41937974,0.39949727,NA
"129",129,"Petrale Sole",0.476,0.3532,25.5693657933168,0.64,"DDbjuv.b LSTlarv ",0.37396257,0.34929879,NA
"130",130,"Petrale Sole",0.509,0.2749,28.0444733642839,0.56,"DDbjuv.b LSTpjuv ",0.5591298,0.44288574,NA
"131",131,"Petrale Sole",0.456,0.1196,31.242181886748,0.68,"DDbjuv.b LSTbjuv.a ",0.58378999,0.46309502,NA
"132",132,"Petrale Sole",0.454,0.129,30.9731758042531,0.64,"DDbjuv.b LSTbjuv.b ",0.58378999,0.46309502,NA
"133",133,"Petrale Sole",0.452,0.1849,29.9120559843101,0.6,"CSTegg1 DDbjuv.b ",0.58378999,0.46309502,NA
"134",134,"Petrale Sole",0.561,0.131,31.7477586494711,0.6,"CSTegg2 DDbjuv.b ",0.58378999,0.46309502,NA
"135",135,"Petrale Sole",0.457,0.1546,30.767497042088,0.64,"CSTlarv DDbjuv.b ",0.56662163,0.42637825,NA
"136",136,"Petrale Sole",0.453,0.2074,29.021039290138,0.68,"CSTpjuv DDbjuv.b ",0.46718358,0.42374213,NA
"137",137,"Petrale Sole",0.449,0.3029,26.741809842259,0.72,"CSTbjuv.a DDbjuv.b ",0.41937974,0.39949727,NA
"138",138,"Petrale Sole",0.476,0.162,30.4367115040492,0.64,"CSTbjuv.b DDbjuv.b ",0.37396257,0.34929879,NA
"139",139,"Petrale Sole",0.478,0.1542,31.0354588434503,0.64,"LSTegg1 MLDegg ",0.5591298,0.44288574,NA
"140",140,"Petrale Sole",0.473,0.1593,31.0678239763162,0.64,"LSTegg2 MLDegg ",0.58378999,0.46309502,NA
"141",141,"Petrale Sole",0.52,0.2968,28.2015074643012,0.56,"LSTlarv MLDegg ",0.58378999,0.46309502,NA
"142",142,"Petrale Sole",0.531,0.2268,30.541078483714,0.52,"LSTpjuv MLDegg ",0.58378999,0.46309502,NA
"143",143,"Petrale Sole",0.48,0.1278,32.2749305385351,0.72,"LSTbjuv.a MLDegg ",0.56662163,0.42637825,NA
"144",144,"Petrale Sole",0.48,0.1302,32.1603881605812,0.72,"LSTbjuv.b MLDegg ",0.46718358,0.42374213,NA
"145",145,"Petrale Sole",0.493,0.3154,26.6966622957355,0.68,"CSTegg1 MLDegg ",0.41937974,0.39949727,NA
"146",146,"Petrale Sole",0.465,0.201,30.1855959909502,0.72,"CSTlarv MLDegg ",0.37396257,0.34929879,NA
"147",147,"Petrale Sole",0.454,0.2304,29.0703173834058,0.72,"CSTpjuv MLDegg ",0.5591298,0.44288574,NA
"148",148,"Petrale Sole",0.423,0.3718,24.3608174502866,0.64,"CSTbjuv.a MLDegg ",0.58378999,0.46309502,NA
"149",149,"Petrale Sole",0.483,0.1721,31.0271091826104,0.72,"CSTbjuv.b MLDegg ",0.58378999,0.46309502,NA
"150",150,"Petrale Sole",0.446,0.2974,27.3528855489459,0.64,"LSTegg1 LSTlarv ",0.56662163,0.42637825,NA
"151",151,"Petrale Sole",0.484,0.2041,30.3068894288405,0.56,"LSTegg1 LSTpjuv ",0.50656675,0.63758781,NA
"152",152,"Petrale Sole",0.459,0.0358,33.5158297634473,0.72,"LSTbjuv.a LSTegg1 ",0.46718358,0.42374213,NA
"153",153,"Petrale Sole",0.463,0.0408,33.3864196288397,0.72,"LSTbjuv.b LSTegg1 ",0.41937974,0.39949727,NA
"154",154,"Petrale Sole",0.434,0.1806,29.4483188051759,0.56,"CSTegg1 LSTegg1 ",0.37396257,0.34929879,NA
"155",155,"Petrale Sole",0.442,0.1168,31.3227279133425,0.72,"CSTlarv LSTegg1 ",0.5591298,0.44288574,NA
"156",156,"Petrale Sole",0.425,0.2029,28.7585785500735,0.76,"CSTpjuv LSTegg1 ",0.56662163,0.42637825,NA
"157",157,"Petrale Sole",0.446,0.1708,29.7448761039169,0.76,"CSTbjuv.a LSTegg1 ",0.50656675,0.63758781,NA
"158",158,"Petrale Sole",0.455,0.1187,31.2692505388038,0.68,"CSTbjuv.b LSTegg1 ",0.46718358,0.42374213,NA
"159",159,"Petrale Sole",0.443,0.2865,27.6970498857583,0.6,"LSTegg2 LSTlarv ",0.41937974,0.39949727,NA
"160",160,"Petrale Sole",0.471,0.2133,29.9721953682242,0.56,"LSTegg2 LSTpjuv ",0.37396257,0.34929879,NA
"161",161,"Petrale Sole",0.455,0.0785,32.382808993002,0.72,"LSTbjuv.a LSTegg2 ",0.5591298,0.44288574,NA
"162",162,"Petrale Sole",0.454,0.087,32.1513106579962,0.68,"LSTbjuv.b LSTegg2 ",0.56662163,0.42637825,NA
"163",163,"Petrale Sole",0.423,0.1992,28.8736162401273,0.68,"CSTegg1 LSTegg2 ",0.50656675,0.63758781,NA
"164",164,"Petrale Sole",0.456,0.1355,30.7865695763422,0.68,"CSTlarv LSTegg2 ",0.46718358,0.42374213,NA
"165",165,"Petrale Sole",0.436,0.217,28.3103775988105,0.68,"CSTpjuv LSTegg2 ",0.41937974,0.39949727,NA
"166",166,"Petrale Sole",0.463,0.1798,29.4732245920656,0.72,"CSTbjuv.a LSTegg2 ",0.37396257,0.34929879,NA
"167",167,"Petrale Sole",0.44,0.1696,29.7818985555797,0.6,"CSTbjuv.b LSTegg2 ",0.5591298,0.44288574,NA
"168",168,"Petrale Sole",0.458,0.2268,29.6657044437669,0.64,"LSTbjuv.a LSTlarv ",0.56662163,0.42637825,NA
"169",169,"Petrale Sole",0.454,0.2339,29.4278687657126,0.68,"LSTbjuv.b LSTlarv ",0.56662163,0.42637825,NA
"170",170,"Petrale Sole",0.445,0.2533,28.751313649928,0.72,"CSTegg1 LSTlarv ",0.37396257,0.34929879,NA
"171",171,"Petrale Sole",0.548,0.2605,28.8622147039087,0.6,"CSTegg2 LSTlarv ",0.5591298,0.44288574,NA
"172",172,"Petrale Sole",0.462,0.2649,28.3786152791742,0.6,"CSTlarv LSTlarv ",0.50656675,0.63758781,NA
"173",173,"Petrale Sole",0.467,0.2907,27.4018098766332,0.64,"CSTpjuv LSTlarv ",0.50656675,0.63758781,NA
"174",174,"Petrale Sole",0.459,0.3527,25.6965140050954,0.68,"CSTbjuv.a LSTlarv ",0.37396257,0.34929879,NA
"175",175,"Petrale Sole",0.447,0.2467,28.9682300414808,0.68,"CSTbjuv.b LSTlarv ",0.5591298,0.44288574,NA
"176",176,"Petrale Sole",0.483,0.1392,32.1323336347749,0.68,"LSTbjuv.a LSTpjuv ",0.37396257,0.34929879,NA
"177",177,"Petrale Sole",0.483,0.1437,31.9870806325148,0.72,"LSTbjuv.b LSTpjuv ",0.5591298,0.44288574,NA
"178",178,"Petrale Sole",0.469,0.1823,30.8080837769005,0.68,"CSTegg1 LSTpjuv ",0.37396257,0.34929879,NA
"179",179,"Petrale Sole",0.592,0.1772,31.5345510161213,0.56,"CSTegg2 LSTpjuv ",0.5591298,0.44288574,NA
"180",180,"Petrale Sole",0.479,0.1848,30.7111316326358,0.64,"CSTlarv LSTpjuv ",0.37396257,0.34929879,NA
"181",181,"Petrale Sole",0.474,0.2152,29.5262998252881,0.72,"CSTpjuv LSTpjuv ",0.51309359,0.4282422,NA
