"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"464",464,"Sablefish",1.699,0.1152,92.9207203100045,0.416666666666667,"DDyolk LSTpjuv MLDegg",NA,NA,5.146
"465",465,"Sablefish",1.655,0.3012,88.7182917389842,0.458333333333333,"DDyolk LSTbjuv MLDegg",NA,NA,5.058
"466",466,"Sablefish",1.616,0.2849,89.6184474927582,0.416666666666667,"CSTegg DDyolk MLDegg",NA,NA,4.719
"467",467,"Sablefish",1.615,0.2475,91.5824850889358,0.416666666666667,"CSTyolk DDyolk MLDegg",NA,NA,4.564
"468",468,"Sablefish",1.724,0.1157,93.4402734458094,0.375,"CSTlarv DDyolk MLDegg",NA,NA,4.66
"469",469,"Sablefish",1.7,0.2058,91.4605471440441,0.458333333333333,"CSTpjuv DDyolk MLDegg",NA,NA,4.857
"470",470,"Sablefish",1.747,0.0948,93.1788559508691,0.375,"CSTbjuv DDyolk MLDegg",NA,NA,4.919
"471",471,"Sablefish",1.705,0.141,92.6207291401853,0.416666666666667,"DDyolk LSTegg LSTpjuv",NA,NA,5.158
"472",472,"Sablefish",1.626,0.3334,88.1956643426287,0.5,"DDyolk LSTbjuv LSTegg",NA,NA,5
"473",473,"Sablefish",1.746,0.225,91.2564709347461,0.333333333333333,"CSTegg DDyolk LSTegg",NA,NA,4.979
"474",474,"Sablefish",1.653,0.2531,91.4076026832466,0.458333333333333,"CSTyolk DDyolk LSTegg",NA,NA,4.64
"475",475,"Sablefish",1.721,0.1529,92.7458383094487,0.5,"CSTlarv DDyolk LSTegg",NA,NA,4.654
"476",476,"Sablefish",1.712,0.2007,91.4648272644766,0.375,"CSTpjuv DDyolk LSTegg",NA,NA,4.881
"477",477,"Sablefish",1.748,0.1229,92.8033390927199,0.375,"CSTbjuv DDyolk LSTegg",NA,NA,4.921
"478",478,"Sablefish",1.818,0.1169,92.9304121843077,0.291666666666667,"DDyolk LSTpjuv LSTyolk",NA,NA,5.384
"479",479,"Sablefish",1.633,0.3716,87.3721139213802,0.5,"DDyolk LSTbjuv LSTyolk",NA,NA,5.014
"480",480,"Sablefish",1.699,0.2149,91.1476743959211,0.375,"CSTegg DDyolk LSTyolk",NA,NA,4.885
"481",481,"Sablefish",1.69,0.2425,91.6743546706257,0.416666666666667,"CSTyolk DDyolk LSTyolk",NA,NA,4.714
"482",482,"Sablefish",1.814,0.1175,93.401500017762,0.333333333333333,"CSTlarv DDyolk LSTyolk",NA,NA,4.84
"483",483,"Sablefish",1.848,0.2256,91.1928117034972,0.375,"CSTpjuv DDyolk LSTyolk",NA,NA,5.153
"484",484,"Sablefish",1.745,0.0954,93.1628613852332,0.416666666666667,"CSTbjuv DDyolk LSTyolk",NA,NA,4.915
"485",485,"Sablefish",1.764,0.1205,92.8532388436283,0.291666666666667,"DDyolk LSTlarv LSTpjuv",NA,NA,5.276
"486",486,"Sablefish",1.666,0.3083,88.4555676286065,0.458333333333333,"DDyolk LSTbjuv LSTlarv",NA,NA,5.08
"487",487,"Sablefish",1.593,0.261,89.6905018327374,0.416666666666667,"CSTegg DDyolk LSTlarv",NA,NA,4.673
"488",488,"Sablefish",1.622,0.2422,91.5017774225006,0.458333333333333,"CSTyolk DDyolk LSTlarv",NA,NA,4.578
"489",489,"Sablefish",1.74,0.1151,93.4146253246051,0.25,"CSTlarv DDyolk LSTlarv",NA,NA,4.692
"490",490,"Sablefish",1.763,0.2019,91.4011355407522,0.375,"CSTpjuv DDyolk LSTlarv",NA,NA,4.983
"491",491,"Sablefish",1.731,0.1082,92.8218966586132,0.333333333333333,"CSTbjuv DDyolk LSTlarv",NA,NA,4.887
"492",492,"Sablefish",1.737,0.2371,89.8753882089916,0.333333333333333,"CSTegg DDyolk LSTpjuv",NA,NA,4.961
"493",493,"Sablefish",1.721,0.3168,90.3031897238925,0.375,"CSTyolk DDyolk LSTpjuv",NA,NA,4.776
