"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"67",67,"Yellowtail",0.487,0.0156,32.1387638721552,0.28,"CSTlarv DDpjuv ",0.32613274,0.34545079,1.99
"68",68,"Yellowtail",0.458,0.0148,32.1587343845665,0.32,"CSTpjuv DDpjuv ",0.32296771,0.35184824,2.485
"69",69,"Yellowtail",0.47,0.1595,29.5875490412319,0.52,"DDpjuv LSTlarv ",0.36831629,0.42132722,1.985
"70",70,"Yellowtail",0.454,0.0339,31.6696979515746,0.36,"DDpjuv LSTpjuv ",0.29238282,0.31137896,1.953
"71",71,"Yellowtail",0.431,0.1574,28.2491631782173,0.44,"DDpjuv oni_pjuv ",0.32609946,0.38257377,1.907
"72",72,"Yellowtail",0.471,0.0048,32.4104163699027,0.32,"CutiTUMIpjuv DDpjuv ",0.38439525,0.41864256,1.968
"73",73,"Yellowtail",0.479,0.03,31.8608220601594,0.28,"BeutiSTIpjuv DDpjuv ",0.32689956,0.35282624,2.169
"74",74,"Yellowtail",0.456,0.0563,31.6124545750594,0.32,"DDben Tcop ",0.32596746,0.3294355,1.951
"75",75,"Yellowtail",0.454,0.0012,32.5007041265223,0.16,"DDben Tpart ",0.31581294,0.37713642,1.947
"76",76,"Yellowtail",0.433,0.16,29.0679098184839,0.48,"DDben MLDpart ",0.32613274,0.34545079,1.905
"77",77,"Yellowtail",0.406,0.2129,27.6141285052932,0.56,"DDben MLDlarv ",0.32296771,0.35184824,1.851
"78",78,"Yellowtail",0.436,0.037,31.5875321693208,0.44,"DDben MLDpjuv ",0.29238282,0.31137896,1.911
"79",79,"Yellowtail",0.475,0.016,32.128475932235,0.24,"CSTlarv DDben ",0.38439525,0.41864256,1.966
"80",80,"Yellowtail",0.444,0.0176,32.0872898356935,0.32,"CSTpjuv DDben ",0.32689956,0.35282624,2.457
"81",81,"Yellowtail",0.444,0.2049,29.2399582002465,0.48,"DDben LSTlarv ",0.34957123,0.32373825,1.927
"82",82,"Yellowtail",0.439,0.0328,31.6976776025321,0.4,"DDben LSTpjuv ",0.32613274,0.34545079,1.917
"83",83,"Yellowtail",0.432,0.191,28.8428751193953,0.56,"DDben oni_pre ",0.32296771,0.35184824,1.903
"84",84,"Yellowtail",0.415,0.2732,26.3001998359094,0.52,"DDben oni_larv ",0.34957123,0.32373825,1.869
"85",85,"Yellowtail",0.448,0.0032,32.4519858447999,0.2,"DDben pdo_larv ",0.34957123,0.32373825,1.935
"86",86,"Yellowtail",0.447,0.1954,28.5996413896349,0.6,"CutiSTIpjuv DDben ",0.34957123,0.32373825,2.116
"87",87,"Yellowtail",0.448,0.0018,32.4871564835114,0.2,"CutiTUMIpjuv DDben ",0.34957123,0.32373825,1.922
"88",88,"Yellowtail",0.503,0.0282,32.1613511317674,0.32,"BeutiTUMIpjuv DDben ",0.34957123,0.32373825,2.039
"89",89,"Yellowtail",0.454,0.0259,31.8761853244976,0.28,"BeutiSTIpjuv DDben ",0.38439525,0.41864256,2.119
"90",90,"Yellowtail",0.439,0.0545,31.130003889369,0.52,"MLDpjuv Tcop ",0.32689956,0.35282624,1.948
"91",91,"Yellowtail",0.463,0.0675,30.7835111797593,0.44,"CSTlarv Tcop ",0.32596746,0.3294355,1.942
"92",92,"Yellowtail",0.446,0.0241,31.9209424935314,0.36,"CSTpjuv Tcop ",0.32613274,0.34545079,2.461
"93",93,"Yellowtail",0.436,0.0343,31.6595113364943,0.4,"LSTpjuv Tcop ",0.32296771,0.35184824,1.899
"94",94,"Yellowtail",0.43,0.1893,28.8124159813902,0.56,"oni_pre Tcop ",0.32596746,0.3294355,2.07
"95",95,"Yellowtail",0.41,0.1802,27.5626325598188,0.56,"oni_pjuv Tcop ",0.32596746,0.3294355,1.734
