"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"466",466,"Hake",2.381,0.1074,108.082688532576,0.28,"PUTpjuv SSHmsc Tspawn",NA,NA,6.72195918
"467",467,"Hake",2.379,0.1134,108.005782663635,0.28,"DDspawn PUTpjuv SSHmsc",NA,NA,6.84266668
"468",468,"Hake",2.294,0.1744,106.454646240407,0.36,"PUTpjuv SSHjac.pre SSHmsc",NA,NA,6.54795918
"469",469,"Hake",2.572,0.3076,102.339992609126,0.52,"MLDpjuv PUTpjuv SSHmsc",NA,NA,7.68287298
"470",470,"Hake",2.277,0.1472,107.215333404845,0.32,"PUTpjuv SSHmsc Tpre",NA,NA,6.51395918
"471",471,"Hake",2.277,0.1472,107.215333412447,0.32,"DDpre PUTpjuv SSHmsc",NA,NA,6.63400486
"472",472,"Hake",2.196,0.2917,103.539014911521,0.32,"MLDlate PUTpjuv SSHmsc",NA,NA,6.65703168
"473",473,"Hake",2.285,0.1644,106.78972321596,0.4,"CSTeggs PUTpjuv SSHmsc",NA,NA,6.60831382
"474",474,"Hake",2.75,0.0848,107.769846696554,0.24,"DDyolk MLDlarv SSHmsc",NA,NA,7.65665205
"475",475,"Hake",2.227,0.1543,106.981498424738,0.36,"DDyolk SSHjac.pre SSHmsc",NA,NA,6.61065205
"476",476,"Hake",3.094,0.2022,105.477854225505,0.4,"DDyolk MLDpjuv SSHmsc",NA,NA,8.34465205
"477",477,"Hake",2.118,0.2195,105.247722674941,0.44,"DDyolk SSHmsc Tpre",NA,NA,6.39265205
"478",478,"Hake",2.118,0.2195,105.247722681482,0.44,"DDpre DDyolk SSHmsc",NA,NA,6.31600486
"479",479,"Hake",2.422,0.2146,105.599668492163,0.32,"DDyolk MLDlate SSHmsc",NA,NA,7.00065205
"480",480,"Hake",2.008,0.3101,102.368625301512,0.6,"CSTeggs DDyolk SSHmsc",NA,NA,6.05431382
"481",481,"Hake",2.231,0.3838,101.758379531989,0.44,"LSTegg MLDlarv SSHmsc",NA,NA,6.51682518
"482",482,"Hake",2.233,0.241,106.081652201122,0.36,"LSTegg SSHmsc Tspawn",NA,NA,6.52082518
"483",483,"Hake",2.24,0.2238,106.427121603728,0.36,"DDspawn LSTegg SSHmsc",NA,NA,6.56466668
"484",484,"Hake",2.596,0.1708,106.859545502144,0.44,"LSTegg PUTlate SSHmsc",NA,NA,7.24682518
"485",485,"Hake",2.604,0.096,108.225086247583,0.32,"LSTegg SSHjac.pre SSHmsc",NA,NA,7.26282518
"486",486,"Hake",2.53,0.2134,105.116108444149,0.36,"LSTegg MLDpjuv SSHmsc",NA,NA,7.11482518
"487",487,"Hake",2.537,0.1334,107.623330360918,0.2,"LSTegg SSHmsc Tpre",NA,NA,7.12882518
"488",488,"Hake",2.537,0.1334,107.623330369116,0.2,"DDpre LSTegg SSHmsc",NA,NA,7.15400486
"489",489,"Hake",2.425,0.2306,105.5107038737,0.28,"LSTegg MLDlate SSHmsc",NA,NA,6.90482518
"490",490,"Hake",3.07,0.0675,108.203010963884,0.28,"MLDlarv SSHmsc Tspawn",NA,NA,8.28604144
"491",491,"Hake",3.027,0.0674,108.206460519122,0.28,"DDspawn MLDlarv SSHmsc",NA,NA,8.13866668
"492",492,"Hake",2.655,0.1422,107.079123406784,0.28,"MLDlarv PUTlate SSHmsc",NA,NA,7.45604144
"493",493,"Hake",2.653,0.1253,107.4349511684,0.16,"MLDlarv SSHjac.pre SSHmsc",NA,NA,7.45204144
"494",494,"Hake",2.594,0.1985,106.491500225058,0.24,"MLDlarv SSHmsc Tpre",NA,NA,7.33404144
"495",495,"Hake",2.594,0.1985,106.491500233762,0.24,"DDpre MLDlarv SSHmsc",NA,NA,7.26800486
"496",496,"Hake",2.267,0.2617,105.080960176925,0.44,"CSTeggs MLDlarv SSHmsc",NA,NA,6.57231382
"497",497,"Hake",2.453,0.1128,108.248379949505,0.32,"PUTlate SSHmsc Tspawn",NA,NA,6.94683663
"498",498,"Hake",2.4,0.1604,107.451640677971,0.24,"SSHjac.pre SSHmsc Tspawn",NA,NA,6.97752783
"499",499,"Hake",3.144,0.1915,105.76253421287,0.36,"MLDpjuv SSHmsc Tspawn",NA,NA,8.82687298
"500",500,"Hake",2.082,0.2603,105.470716359084,0.36,"SSHmsc Tpre Tspawn",NA,NA,6.46582088
"501",501,"Hake",2.082,0.2603,105.470716367646,0.36,"DDpre SSHmsc Tspawn",NA,NA,6.24400486
"502",502,"Hake",2.355,0.2066,106.024725704973,0.24,"MLDlate SSHmsc Tspawn",NA,NA,6.97503168
"503",503,"Hake",2.268,0.3109,104.003998519571,0.44,"CSTeggs SSHmsc Tspawn",NA,NA,6.57431382
"504",504,"Hake",2.432,0.1197,108.117527055964,0.32,"DDspawn PUTlate SSHmsc",NA,NA,6.94866668
"505",505,"Hake",2.364,0.1598,107.452453984989,0.24,"DDspawn SSHjac.pre SSHmsc",NA,NA,6.81266668
"506",506,"Hake",3.064,0.1918,105.750028704081,0.36,"DDspawn MLDpjuv SSHmsc",NA,NA,8.21266668
"507",507,"Hake",2.055,0.2667,105.279236221932,0.36,"DDspawn SSHmsc Tpre",NA,NA,6.19466668
"508",508,"Hake",2.055,0.2667,105.279236230633,0.36,"DDpre DDspawn SSHmsc",NA,NA,6.19000486
"509",509,"Hake",2.325,0.2066,106.025908681023,0.24,"DDspawn MLDlate SSHmsc",NA,NA,6.73466668
"510",510,"Hake",2.216,0.3233,103.599485964977,0.44,"CSTeggs DDspawn SSHmsc",NA,NA,6.47031382
"511",511,"Hake",2.425,0.2315,106.225850703617,0.28,"PUTlate SSHjac.pre SSHmsc",NA,NA,6.89083663
"512",512,"Hake",3.059,0.2709,103.495674169462,0.52,"MLDpjuv PUTlate SSHmsc",NA,NA,8.65687298
"513",513,"Hake",2.362,0.2144,106.384728943428,0.32,"PUTlate SSHmsc Tpre",NA,NA,6.76483663
"514",514,"Hake",2.362,0.2144,106.384728952401,0.32,"DDpre PUTlate SSHmsc",NA,NA,6.80400486
"515",515,"Hake",2.343,0.2962,103.71629831239,0.4,"MLDlate PUTlate SSHmsc",NA,NA,6.95103168
"516",516,"Hake",2.34,0.2356,105.637932620501,0.48,"CSTeggs PUTlate SSHmsc",NA,NA,6.71831382
"517",517,"Hake",2.433,0.2209,105.435523245987,0.28,"MLDpjuv SSHjac.pre SSHmsc",NA,NA,7.40487298
"518",518,"Hake",2.272,0.2025,106.017614649101,0.2,"MLDlate SSHjac.pre SSHmsc",NA,NA,6.80903168
"519",519,"Hake",2.574,0.1824,107.014466190755,0.4,"CSTeggs SSHjac.pre SSHmsc",NA,NA,7.18631382
"520",520,"Hake",2.287,0.2931,103.219825603211,0.44,"MLDpjuv SSHmsc Tpre",NA,NA,7.11287298
"521",521,"Hake",2.287,0.2931,103.219825615241,0.44,"DDpre MLDpjuv SSHmsc",NA,NA,6.65400486
"522",522,"Hake",2.457,0.2388,104.742543311904,0.32,"CSTeggs MLDpjuv SSHmsc",NA,NA,6.95231382
"523",523,"Hake",2.308,0.245,105.229911062063,0.32,"MLDlate SSHmsc Tpre",NA,NA,6.88103168
"524",524,"Hake",2.415,0.1497,107.483829307634,0.24,"CSTeggs SSHmsc Tpre",NA,NA,6.86831382
"525",525,"Hake",2.308,0.245,105.229911063743,0.32,"DDpre MLDlate SSHmsc",NA,NA,6.69600486
"526",526,"Hake",2.415,0.1497,107.483829313814,0.24,"CSTeggs DDpre SSHmsc",NA,NA,6.86831382
"527",527,"Hake",2.244,0.2256,104.920050947412,0.4,"CSTeggs MLDlate SSHmsc",NA,NA,6.52631382
"528",528,"Hake",2.016,0.0835,108.128794655896,0.4,"CSTlaten CSTpjuvs PUTpjuv",NA,NA,6.06835508
"529",529,"Hake",1.979,0.1019,107.261407207163,0.4,"CSTlaten MLDlarv PUTpjuv",NA,NA,5.99435508
"530",530,"Hake",2.065,0.1511,106.821307912345,0.48,"CSTlaten PUTpjuv SSHjac.pre",NA,NA,6.16635508
"531",531,"Hake",2.042,0.1571,105.675848003855,0.36,"CSTlaten MLDpjuv PUTpjuv",NA,NA,6.12035508
"532",532,"Hake",1.967,0.1652,106.733387551785,0.48,"CSTlaten PUTpjuv Tpre",NA,NA,5.97035508
"533",533,"Hake",1.967,0.1652,106.733387557667,0.48,"CSTlaten DDpre PUTpjuv",NA,NA,5.97035508
"534",534,"Hake",1.846,0.1621,105.527071875119,0.48,"CSTlaten MLDlate PUTpjuv",NA,NA,5.72835508
"535",535,"Hake",2.146,0.2357,105.445340948669,0.52,"CSTeggs CSTlaten PUTpjuv",NA,NA,6.33031382
"536",536,"Hake",2.045,0.1508,107.031499406944,0.44,"CSTlaten CSTpjuvs MLDlarv",NA,NA,6.12635508
"537",537,"Hake",2.155,0.2054,106.545856647065,0.36,"CSTlaten CSTpjuvs SSHjac.pre",NA,NA,6.34635508
"538",538,"Hake",2.047,0.2035,105.466884196473,0.4,"CSTlaten CSTpjuvs MLDpjuv",NA,NA,6.13035508
